"Passion StoriesrnMenggali Inspirasi Kreatif Dari Para Maestro Dalam Berkarya Dan Menghidupkan Lentera Jiwanya""""",Text,Cetakan Pertama: Mei 2017,978-602-6328-28-1,Metagraf Creative Imprint of Tiga Serangai,2017,,,,Indonesia,Solo,NONE,,Passion_Stories.jpg.jpg,,<Qalbinur Nawawi>,,
HabibiernTak Boleh Lelah dan Kalah!,Text,Cetakan Kedua: Maret 2014,978-602-9212-90-7,Metagraf Creative Imprint of Tiga Serangai,2014,,,,Indonesia,Solo,NONE,,Habibie.jpg.jpg,,<Fachmy Casofa>,,
"Hiasan Unik dan AsyikrnPotong, Lipat, lalu Pasang!",Text,14-Nov,978-979-045-803-1,Tiga Ananda Creative Imprint of Tiga Serangkai,2014,,,,Indonesia,Solo,NONE,,"Hiasan_Unik_dan_Asyik_Potong,_Lipat,_lalu_Pasang!.jpg.jpg",,<Fiona Watt>,,
Kupas Tuntas Obesitasrn5 Langkah Ampuh Bebas Obesitas,Text,Cetakan Pertama: Mei 2017,978-602-6328-30-4,Metagraf Creative Imprint of Tiga Serangai,2017,,,,Indonesia,Solo,NONE,,Kupas_Tuntas_Obesitas.jpg.jpg,,"<dr. Nadjibah Yahya, Dipl. CIBTAC>",,
"Pastry PreneurrnPanduan Usaha Bakery, Khususnya Patiseri, Dan Pengembangan Kompetensi Sebagai Chef Atau Baker Profesional",Text,Cetakan Pertama: Oktober 2016,978602-6328-15-1,Metagraf Creative Imprint of Tiga Serangai,2016,,,,Indonesia,Solo,NONE,,Pastry_Preneur.JPG.JPG,,<M. Husin Syarbini. STP>,,
How to Become A GreatrnFreshgraduatern66+ Saran Ahli Untuk Sukses Memasuki Dunia Kerja Profesional,Text,Cetakan Pertama: September 2014,978-602-257-382-1,Metagraf Creative Imprint of Tiga Serangai,2014,,,,Indonesia,Solo,NONE,,How_to_Become_A_Great_Freshgraduate.jpg.jpg,,<Ardiningtiyas Pitaloka><Andin Andiyasari>,,
Craftpreneur JuniorrnSerunya Menghasilkan Uang dari Kerajinan Tangan,Text,Cetakan Pertama: Desember 2014,978-979-045-792-8,Tiga Ananda Creative Imprint of Tiga Serangkai,2014,,,,Indonesia,Solo,NONE,,Craftpeneur_Junior.jpg.jpg,,<Debby Lukito Goeyardi><Patricia Cornelia Fei Goeyardi><Vanessa Monica Fei Goeyardi>,,
Buku Pintar MuslimahrnSifat-Sifat Wanita Dambaan Surga,Text,Cetakan Pertama: Desember 2017,978-602-0894-91-1,"Tinta Medina, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,Solo,NONE,,Buku_Pintar_Muslimah.JPG.JPG,,<Ummu Usamah binti Ali al-'Abbasi>,,
JokowirnMemimpin Kota Menyentuh Jakarta,Text,Cetakan Kedua: Desember 2012,978-602-9212-50-1,Metagraf,2012,,,,Indonesia,Solo,NONE,,Jokowi_Memimpin_Kota_Menyentuh_Jakarta.jpg.jpg,,<Alberthiene Endah>,,
"Mengayuh Asa, Menggapai Mimpi",Text,Cetakan Pertama: Juni 2015,978-602-72110-3-2,Metagraf,2015,,,,Indonesia,Solo,NONE,,Mengayuh_Asa_Menggapai_Mimpi.jpg.jpg,,<Raeni>,,
150 Perempuan ShalihahrnTeladan Muslimah Sepanjang Masa,Text,Cetakan Pertama: Maret 2015,978-602-9211-02-3,"Tinta Medina, Creative Imprint of Tiga Serangkai",2015,,,,Indonesia,Solo,NONE,,150_Perempuan_Shalihah.jpg.jpg,,<Abu Malik Muhammad Bin Hamid>,,
"Coloring Book Nusantara For AdultrnBangka Belitung, Lampung, Maluku, Riau Kepri, Nusa Tenggara, Papua, Sulawesi Edition",Text,Cetakan Pertama: Mei 2016,9787-602-73871-7-1,Metagraf,2016,,,,Indonesia,Solo,NONE,,Coloring_Book_For_Adult_Nusantara_Gersom.jpg.jpg,,<Gersom>,,
"Coloring Book Nusantara For AdultrnAceh, Bali, Banten, Bengkulu Jambi, Gorontalo Kalimantan",Text,Cetakan Pertama: Mei 2016,978-602-73871-5-7,Metagraf,2016,,,,Indonesia,Solo,NONE,,Coloring_Book_For_Adult_Nusantara_Mujix.jpg.jpg,,<Mujix>,,
BER GE Manfaatkan Waktumu GAS Raih Keberkahannya LAH!,Text,Cetakan Pertama: Agustus 2018,978-602-5731-20-4,"Tinta Medina, Creative Imprint of Tiga Serangkai",2018,,,,Indonesia,Solo,NONE,,Ber_Ge_Gas_Lah.jpg.jpg,,<Royhan Firdausy>,,
Ekonomi 1 Untuk Kelas X SMA dan MA  Ed. Revisi Kelompok Peminatan Ilmu-Ilmu Sosial,Text,Edisi Revisi 2016,978-979-040-393-2,PT Wangsa Jatra Lestari,2016,,,330 SUT E,Indonesia,Solo,330,,,,"<Sutarno, Sunarto, Sudarno>",,<9500>
Bahasa Inggris SMA/MA/SMK/MAK kelas X Ed. revisi 2016,Text,Edisi Revisi 2016,978-602-427-106-0,kementerian pendidikan dan kebudayaan,2016,,,600 WID B,English,jakarta,600,,Bahasa_Inggris_Kelas_X_Ed_Revisi_2016.JPG.JPG,,"<Utami Widiati, Zuliati Rohmah, dan Furaidah>",,
Bahasa InggrisrnSMA/MA/SMK/MAK Kelas XrnEd Revisi 2017,Text,Edisi Revisi 2017,978-602-427-106-0,kementerian pendidikan dan kebudayaan,2017,,,600 WID B,English,jakarta,600,,Bahasa_Inggris_Kelas_X_Ed_Revisi_2017.jpg.jpg,,"<Utami Widiati, Zuliati Rohmah, dan Furaidah>",,
Pendidikan Pancasila dan Kewarganegaraan SMA/MA/SMK/MAK Kelas X Ed. Revisi 2016,Text,Edisi Revisi 2016,978-602-427-090-2,kementerian pendidikan dan kebudayaan,2016,,,600 NUR P,Indonesia,jakarta,600,,Pendidikan_Pancasila_dan_Kewarganegaraan_Kelas_X_Ed_Revisi_2016.JPG.JPG,,"<Nuryadi, Tolib>",,
Pendidikan Pancasila dan KewarganegaraanrnSMA/MA/SMK/MAK Kelas XrnEd Revisi 2017,Text,Edisi Revisi 2017,978-602-427090-2,kementerian pendidikan dan kebudayaan,2017,,,600,Indonesia,jakarta,600,,Pendidikan_Pancasila_dan_Kewarganegaraan_Kelas_X_Ed_Revisi_2017.jpg.jpg,,"<Nuryadi, Tolib>",,
Sejarah Indonesia SMA/MA/SMK/MAK Kelas X Ed. Revisi 2016,Text,Edisi Revisi 2016,978-602-427-122-0,kementerian pendidikan dan kebudayaan,2016,,,959.8 GUN S,Indonesia,jakarta,959,,Sejarah_Indonesia_Kelas_X_Ed_Revisi_2016.JPG.JPG,,"<Restu Gunawan, Amurwani Dwi Lestariningsih, dan Sardiman>",,
Sejarah IndonesiarnSMA/MA/SMK/MAK Kelas XrnEd Revisi 2017,Text,Edisi Revisi 2017,978-602-427-122-0,kementerian pendidikan dan kebudayaan,2017,,,959.8 GUN S,Indonesia,jakarta,959,,,,"<Restu Gunawan, Amurwani Dwi Lestariningsih, dan Sardiman>",,
MatematikarnSMA/MA/SMK/MAK Kelas XrnEd Revisi 2016,Text,Edisi Revisi 2016,978-602-427-114-5,kementerian pendidikan dan kebudayaan,2016,,,510 SIN M,Indonesia,jakarta,510,,Matematika_Kelas_X_Edisi_Revisi_2016.JPG.JPG,,"<Bornok Sinaga, Pardomuan N.J.M Sinambela, Andri Kristianto Sitanggang, Tri Andri Hutapea, dll>",,
Matematika SMA/MA/SMK/MAK Kelas X Ed. Revisi 2017,Text,Edisi Revisi 2017,978-602-427-114-5,kementerian pendidikan dan kebudayaan,2017,,,510 SIN M,Indonesia,jakarta,510,,Matematika_Kelas_X_Edisi_Revisi_2017.jpg.jpg,,"<Bornok Sinaga, Pardomuan N.J.M Sinambela, Andri Kristianto Sitanggang, Tri Andri Hutapea, Sudianto M>",,
Seni BudayarnSMA/MA/SMK/MAK Kelas X Semester 1rnEd Revisi 2017,Text,Edisi Revisi 2017,978-602-427-142-8,kementerian pendidikan dan kebudayaan,2017,,,600 SOE S,Indonesia,jakarta,600,,Seni_Budaya_2016_Kelas_X_Semester_1_Ed_Revisi_2017.jpg.jpg,,"<Zackaria Soetedja, Dewi Suryati, Milasari, Agus Supriatna>",,
Pendidikan Agama Islam dan Budi PekertirnSMA/MA/SMK/MAK Kelas XrnEd Revisi 2017,Text,Edisi Revisi 2017,978-602-427-042-1,kementerian pendidikan dan kebudayaan,2017,,,297.07 KHA P,Indonesia,jakarta,297,,Pendidikan_Agama_Islam_dan_Budi_Pekerti_Kelas_X_Ed_Revisi_2017.jpg.jpg,,"<Nelty, Khairiyah, Endi Suhendi Zen>",,
Pendidikan Agama Islam dan Budi Pekerti SMA/MA/SMK/MAK Kelas X Ed. Revisi 2016,Text,Edisi Revisi 2016,978-602-427-042-1,kementerian pendidikan dan kebudayaan,2016,,,297.07 KHA P,Indonesia,jakarta,297,,Pendidikan_Agama_Islam_dan_Budi_Pekerti_Kelas_X_Ed_Revisi_2016.JPG.JPG,,"<Nelty, Khairiyah, Endi Suhendi Zen>",,
Bahasa IndonesiarnSMA/MA/SMK/MAK Kelas XrnEd Revisi 2017,Text,Edisi Revisi 2017,978-602-427-098-8,kementerian pendidikan dan kebudayaan,2017,,,600 SUH B,Indonesia,jakarta,600,,Bahasa_Indonesia_Kelas_X_Ed_Revisi_2017.jpg.jpg,,"<Suherli, Maman Suryaman, Aji Septiaji, Istiqomah>",,
Prakarya dan KewirausahaanrnSMA/MA/SMK/MAK Kelas X Semester 1rnEd Revisi 2016,Text,Edisi Revisi 2016,978-602-427-153-4,kementerian pendidikan dan kebudayaan,2016,,,600 WER P,Indonesia,jakarta,600,,Prakarya_dan_Kewirausahaan_Kelas_X_Semester_1_Ed_Revisi_2016.jpg.jpg,,"<Hendriana Werdhaningsih, Alberta haryudanti, Rinrin Jamrianti dkk>",,
Bahasa Indonesia SMA/MA/SMK/MAK Kelas X Ed.Revisi 2016,Text,Edisi Revisi 2016,978-602-427-098-8,kementerian pendidikan dan kebudayaan,2016,,,600 SUH B,Indonesia,jakarta,600,,Bahasa_Indonesia_Kelas_X_Ed_Revisi_2016.jpg.jpg,,"<Suherli, Maman Suryaman, Aji Septiaji, Istiqomah>",,
Perspektif Matematika 1rnuntuk Kelas X SMA dan MArnKelompok Peminatan dan Ilmu-Ilmu Alam Ed. Revisi,Text,Edisi Revisi 2016,978-602-257-384-5,PT. Tiga Serangkai Pustaka Mandiri,2016,,,510.07 YUA P,Indonesia,Solo,510,,Perspektif_Matematika_1_Ed_Revisi.jpg.jpg,,"<Rosihan Ari Yuana, Indriyastuti>",,
Prespektif Matematika Untuk Kelas X SMA dan MA Kelompok Peminatan Matematika dan Ilmu Alam,Text,Edisi 2013,978-602-257-384-5,PT. Tiga Serangkai Pustaka Mandiri,2013,,,510.07 YUA P,Indonesia,Solo,510,,,,"<Rosihan Ari Yuana, Indriyastuti>",,
Seni Budaya SMA/MA/SMK/MAK/ Kelas X Semester 1 Ed. Revisi 2016,Text,Edisi Revisi 2016,978-602-427-142-8,kementerian pendidikan dan kebudayaan,2016,,,600 SOE S,Indonesia,jakarta,600,,Seni_Budaya_2016_Kelas_X_Semester_1.jpg.jpg,,"<Zackaria Soetedja, Dewi Suryati, Milasari, Agus Supriatna>",,
Kimia 1 Untuk Kelas X SMA dan MA Kelompok Peminatan Matematika dan Ilmu-Ilmu Alam Ed. revisi,Text,Edisi Revisi 2016,978-979-040-225-6,PT. Wangsa Jatra Lestari,2016,,,540.7 SUS K,Indonesia,Solo,540,,Buku_Siswa_Kimia_1.jpg.jpg,,"<Endang Susilowati, Tarti Harjani>",,
Prakarya dan Kewirausahaan SMA/MA/SMK/MAK Kelas X Semester 1,Text,Edisi Revisi 2017,978-602-427-153-4,kementerian pendidikan dan kebudayaan,2017,,,600 WER P,Indonesia,jakarta,600,,Prakarya_dan_Kewirausahaan_Kelas_X_Semester_1.jpg.jpg,,"<Hendriana Werdhaningsih, Alberta haryudanti, Rinrin Jamrianti dkk>",,
Kimia Untuk Kelas X SMA dan MA Kelompok Peminatan Matematika dan Ilmu Alam,Text,,978-979-040-225-6 ji,PT. Wangsa Jatra Lestari,2013,,,,Indonesia,Solo,NONE,,,,<Endang Susilowati><Tarti Harjani>,,
Be Smart in English 1rnBUKU SISWArnFor Grade X of Senior High SchoolsrnLinguistics and Cultural Studies,Text,Edisi Revisi 2016,978-979-040-418-2,PT Wangsa Jatra Lestari,2016,,,,Indonesia,Solo,NONE,,,,<Ira Wijayanti><Nitya Jwalita><Kristin Ambarwati><Mariyana>,,<0000001>
